Country Code,Region
AFG,South Asia
ARE,Middle East & North Africa
ARG,Latin America & Caribbean
ATG,Latin America & Caribbean
AUS,East Asia & Pacific
AUT,Europe & Central Asia
BDI,Sub-Saharan Africa
BEL,Europe & Central Asia
BGD,South Asia
BGR,Europe & Central Asia
BHS,Latin America & Caribbean
BIH,Europe & Central Asia
BLZ,Latin America & Caribbean
BOL,Latin America & Caribbean
BRA,Latin America & Caribbean
CAN,North America
CHE,Europe & Central Asia
CHI,Europe & Central Asia
CHL,Latin America & Caribbean
CHN,East Asia & Pacific
COL,Latin America & Caribbean
CZE,Europe & Central Asia
DEU,Europe & Central Asia
DNK,Europe & Central Asia
ESP,Europe & Central Asia
FIN,Europe & Central Asia
FRA,Europe & Central Asia
GBR,Europe & Central Asia
GTM,Latin America & Caribbean
JPN,East Asia & Pacific
KOR,East Asia & Pacific
MEX,Latin America & Caribbean
NLD,Europe & Central Asia
NOR,Europe & Central Asia
PER,Latin America & Caribbean
PRT,Europe & Central Asia
RUS,Europe & Central Asia
SAU,Middle East & North Africa
SWE,Europe & Central Asia
USA,North America
